#,Producto,Proveedor,Descripcion,Requisitos del Sistema (Recomendado),Requisitos del Sistema (Real),Cadigo Factura,Precio por unidad,Total,Fecha de adquisicion,Fecha de renovacion,Adquiridas,En uso,Libres,Tipo de renovacion,Paquete 
55,Ideastatica,Descargar Ideasatica (Genesis),"LICENCIA IDEA STATICA STEEL (5739 a )
","S.O. : Windows 11 64 Bit
39,Revit - Generative Design,AIO TECH ONLINE SAS,Panel Autodesk Edu Todas las Apps - cada aplicacian contiene 125 licencias por 1 aao ,"S.O. : Windows 11 64 Bit
Graficos: 4 GB VRAM compatible con Directx11 (GeForce RTX 2060, RTX 2070, RTX 2080, RTX 2080 Ti, RTX 3050 Ti, RTX 3060 Ti, RTX 3070 Ti, RTX 3080 Ti)
CPU: Intel Core i5 AMD Ryzen 5
RAM: 32 GB
Almacenamiento: 30 GB","S.O. : Windows 11 64 Bit
Graficos: 4 GB VRAM compatible con Directx11
CPU: Intel Core i5(11th) AMD Ryzen 5(3rd)
RAM: 64 GB
Almacenamiento: 30 GB",FE237,,,4/2/2024,4/2/2025,250,230,20,Anual,P. Proyectos
40,Robot Structural Analysis Professional,AIO TECH ONLINE SAS,Panel Autodesk Edu Todas las Apps - cada aplicacian contiene 125 licencias por 1 aao ,,,FE237,,,4/2/2024,4/2/2025,250,249,1,Anual,P. Proyectos
41,Structural Bridge Design,AIO TECH ONLINE SAS,Panel Autodesk Edu Todas las Apps - cada aplicacian contiene 125 licencias por 1 aao ,,,FE237,,,4/2/2024,4/2/2025,250,249,1,Anual,P. Proyectos
42,VRED Professional,AIO TECH ONLINE SAS,Panel Autodesk Edu Todas las Apps - cada aplicacian contiene 125 licencias por 1 aao ,,,FE237,,,4/2/2024,4/2/2025,250,249,1,Anual,P. Proyectos
43,Vehicle Tracking,AIO TECH ONLINE SAS,Panel Autodesk Edu Todas las Apps - cada aplicacian contiene 125 licencias por 1 aao ,,,FE237,,,4/2/2024,4/2/2025,250,249,1,Anual,P. Proyectos
44,Project,AIO TECH ONLINE SAS,"Project 2021 Professional
",,,FE237,"$ 55,000.00","$ 330,000.00",4/2/2024,NA,6,6,0,Vitalicio,P. Proyectos
46,Visio,AIO TECH ONLINE SAS,Visio 2021 Professional,,,FE 237,"$ 55,000.00","$ 110,000.00",4/2/2024,NA,2,2,0,Vitalicio,p. Administracion
47,Windows 11 Pro,AIO TECH ONLINE SAS,Windows 11 Pro ESD Digital (Licencia Vitalicia Genuina con Certificado de Autenticidad),,,FE237,"$ 35,000.00","$ 1,750,000.00",4/2/2024,NA,50,50,0,Vitalicio,P. Basicos
48,SketchUp Studio Pro,AIO TECH ONLINE SAS,SketchUp Studio (vinculable al correo solo por un aao de vigencia),"S.O. : Windows 11 64 Bit
Graficos: 6 GB VRAM  (Una GPU moderna con al menos 1 GB de memoria. El renderizador clasico de SketchUp requiere compatibilidad con OpenGL 3.1. El rendimiento de SketchUp depende en gran medida de la tarjeta grafica y de su compatibilidad con OpenGL 3.1 o superior.)
CPU: Intel Core i5 (11th) AMD Ryzen 5 (3rd)
RAM: 8 GB
Almacenamiento: 2 GB","S.O. : Windows 11 64 Bit
Graficos: 6 GB VRAM  
CPU: Intel Core i5 (11th) AMD Ryzen 5 (3rd) >@3 GHz
RAM: 16 GB
Almacenamiento: 2 GB",FE237,"$ 2,400,000.00","$ 2,400,000.00",4/2/2024,4/2/2025,1,1,0,Anual,P. Proyectos
49,Nitro PDF,AIO TECH ONLINE SAS,Editor de PDFs Nitro,"S.O. : Windows 10 64 Bit
Graficos: Integrados
CPU: Intel Core i3 AMD  Ryzen 3 
RAM: 8 GB
Almacenamiento: 2 GB","S.O. : Windows 11 64 Bit
Graficos: Integrados
CPU: Intel Core i3 (9th) AMD Ryzen 3 (2nd)
RAM: 8 GB
Almacenamiento: 2 GB",FE237,"$ 50,000.00","$ 2,500,000.00",4/2/2024,NA,50,50,0,Vitalicio,P. Basicos
